"Id[String]","Name[String]","UniqueStorageId[Int]","SortOrder[Int]","Tags[String]","CraftSeconds[Float]","OutputText[String]","DropIds[String]","IconCameraId[String]","IconAsset[Asset Reference]","IsKitbashed2DIcon[Bool]","Is3DIcon[Bool]","IsImageIcon[Bool]","InputItemId1[String]","InputCurrencyId1[String]","InputAmount1[Int]","InputItemId2[String]","InputCurrencyId2[String]","InputAmount2[Int]","InputItemId3[String]","InputCurrencyId3[String]","InputAmount3[Int]","InputItemId4[String]","InputCurrencyId4[String]","InputAmount4[Int]"
"Sprinkler","Sprinkler","13","13","placeable","80.0","","Sprinkler Craft","","7F7502F3A66DDED5","False","True","False","Metal","","3","","","0","","","0","","","0"
"Medium Chest","Medium Chest","14","14","placeable","60.0","","Medium Chest Craft","","8F38C5765BCD1EB5","False","True","False","Wood","","20","","","0","","","0","","","0"
"Tree Spot","Tree Spot","15","15","placeable","30.0","","Tree Spot Craft","","3B788CBB166D2DF4","False","True","False","Stone","","4","Mulch","","2","","","0","","","0"
"Clay Pot","Clay Pot","16","16","placeable","30.0","","Clay Pot Craft","","0C5E4538907BA6CE","False","True","False","Stone","","1","Compost","","1","","","0","","","0"
"Clay Pot with Cage","Clay Pot with Cage","17","17","placeable","30.0","","Clay Pot with Cage Craft","","982BFFD0BDE64A50","False","True","False","Clay Pot","","1","Metal","","1","","","0","","","0"
"Bucket & Tap","Bucket & Tap","18","18","tool","120.0","","Bucket & Tap Craft","","AFB32011DCC78DA4","False","True","False","Metal","","4","","","0","","","0","","","0"
"Bee House","Bee House","19","19","placeable","90.0","","Bee House Craft","","02B65CFCAD6F56F6","False","True","False","Wood","","30","","","0","","","0","","","0"
"Compost Bin","Compost Bin","20","20","placeable","30.0","","Compost Bin Craft","","BC0BB6FF1F9F4B4C","False","True","False","Wood","","10","","","0","","","0","","","0"
"Fertilizer Barrel","Fertilizer Barrel","21","21","placeable","60.0","","Fertilizer Barrel Craft","","7285E25478E4F83F","False","True","False","Metal","","3","Wood","","10","","","0","","","0"
"Aging Barrel","Aging Barrel","22","22","placeable","120.0","","Aging Barrel Craft","","6B28B8FFCCE7CE2C","False","True","False","Metal","","3","Wood","","10","","","0","","","0"
"Decorative Flower Barrel","Decorative Flower Barrel","23","23","placeable","180.0","","Decorative Flower Barrel Craft","","7464E8EEB593433E","False","True","False","Metal","","1","Wood","","10","Compost","","1","Fertilizer","","1"
"Crafting Table","Crafting Table","24","24","global","30.0","","Crafting Table Craft","","B12432A02705FB8F","False","True","False","Wood","","5","Stone","","5","","","0","","","0"
"Wood Cook Stove","Wood Cook Stove","25","25","placeable","180.0","","Wood Cook Stove Craft","","BD1C9A4F42501006","False","True","False","Metal","","5","Stone","","10","","","0","","","0"
"Soybeans","Soybeans","26","26","food","30.0","","Soybeans Craft","","29FFEEA2C46878B7","False","True","False","Soybean Pod","","1","","","0","","","0","","","0"
"Green Soybeans","Green Soybeans","27","27","food","30.0","","Green Soybeans Craft","","60924D25B83D1D18","False","True","False","Green Soybean Pod","","1","","","0","","","0","","","0"
"Flour","Flour","28","28","food","60.0","","Flour Craft","","22006C1696E87301","False","True","False","Wheat","","10","","","0","","","0","","","0"
"Bread","Bread","29","29","food","120.0","","Bread Craft","","F257B4C886D4CB65","False","True","False","Flour","","2","","","0","","","0","","","0"
"Mashed Potatos","Mashed Potatos","30","30","food","30.0","","Mashed Potatos Craft","","05FDAD3C6251DED3","False","True","False","Potato","","16","","","0","","","0","","","0"
"Mushroom Perogies","Mushroom Perogies","31","31","food","60.0","","Mushroom Perogies Craft","","ED6EE69CD7FB1330","False","True","False","Mashed Potatos","","1","Flour","","1","Brown Mushroom","","3","","","0"
"Apple Pie","Apple Pie","32","32","food","120.0","","Apple Pie Craft","","B5D4E45C8820E58C","False","True","False","Apple","","6","Flour","","2","Honey","","1","","","0"
"Veggie Plate","Veggie Plate","33","33","food","60.0","","Veggie Plate Craft","","73474024D98680D1","False","True","False","Tomato","","3","Carrot","","12","","","0","","","0"
"Watermelon Fruit Salad","Watermelon Fruit Salad","34","34","food","120.0","","Watermelon Fruit Salad Craft","","829A34E3E610F8CD","False","True","False","Watermelon","","1","Grapes","","3","Apple","","1","","","0"
"Watermelon Rose","Watermelon Rose","35","35","food","120.0","","Watermelon Rose Craft, Watermelon Botched Craft","","25326A9E30BAB392","False","True","False","Watermelon","","1","","","0","","","0","","","0"
"Noodles","Noodles","37","37","food","120.0","","Noodles Craft","","A72A83A4851F6468","False","True","False","Flour","","3","","","0","","","0","","","0"
"Spagetti","Spagetti","38","38","food","180.0","","Spagetti Craft","","A5CB22ECD8EF08B5","False","True","False","Noodles","","1","Tomato","","8","","","0","","","0"
"Soy Milk","Soy Milk","39","39","food","120.0","","Soy Milk Craft","","A96CCFD5B3EAEDBD","False","True","False","Soybeans","","10","","","0","","","0","","","0"
"Tofu","Tofu","40","40","food","210.0","","Tofu Craft","","E41552F7667F2977","False","True","False","Soy Milk","","3","","","0","","","0","","","0"
"Tofu Udon","Tofu Udon","41","41","food","240.0","","Tofu Udon Craft","","BCFBB83F033DD71C","False","True","False","Tofu","","1","Noodles","","1","Brown Mushroom","","2","Carrot","","1"
"Small Foundation","Small Foundation","42","42","construction","30.0","","Small Foundation Craft","","0DA9A7C8DB3F8800","False","True","False","Stone","","4","","","0","","","0","","","0"
"Large Foundation","Large Foundation","43","43","construction","60.0","","Large Foundation Craft","","3D74F4DE919CAD29","False","True","False","Stone","","16","","","0","","","0","","","0"
"Small Wood Wall","Small Wood Wall","44","44","construction","5.0","","Small Wood Wall Craft","","A71AA475D0538AF0","False","True","False","Wood","","5","","","0","","","0","","","0"
"Large Wood Wall","Large Wood Wall","45","45","construction","15.0","","Large Wood Wall Craft","","44D4BACE1C8295FE","False","True","False","Wood","","15","","","0","","","0","","","0"
"Curved Wood Wall","Curved Wood Wall","46","46","construction","10.0","","Curved Wood Wall Craft","","46FDA55963BB6C38","False","True","False","Wood","","10","","","0","","","0","","","0"
"Small Stone Wall","Small Stone Wall","47","47","construction","10.0","","Small Stone Wall Craft","","2110C5584893CCBC","False","True","False","Stone","","5","","","0","","","0","","","0"
"Large Stone Wall","Large Stone Wall","48","48","construction","30.0","","Large Stone Wall Craft","","EB65C6B51189663E","False","True","False","Stone","","15","","","0","","","0","","","0"
"Curved Stone Wall","Curved Stone Wall","49","49","construction","20.0","","Curved Stone Wall Craft","","3799DA7728A17CAE","False","True","False","Stone","","10","","","0","","","0","","","0"
"Small Fancy Wall","Small Fancy Wall","50","50","construction","20.0","","Small Fancy Wall Craft","","35DECB1EDC37158E","False","True","False","Wood","","5","Stone","","5","","","0","","","0"
"Large Fancy Wall","Large Fancy Wall","51","51","construction","60.0","","Large Fancy Wall Craft","","8A6974271C086FAC","False","True","False","Wood","","15","Stone","","15","","","0","","","0"
"Curved Fancy Wall","Curved Fancy Wall","52","52","construction","45.0","","Curved Fancy Wall Craft","","C44B1F17D61980AF","False","True","False","Wood","","10","Stone","","10","","","0","","","0"
"Wall Torch Holder","Wall Torch Holder","53","53","construction","1.0","","Wall Torch Holder Craft","","F37881F7EA957DCB","False","True","False","Metal","","1","","","0","","","0","","","0"
"Door","Door","54","54","construction","1.0","","Door Craft","","0BADBADBADBADBAD","False","True","False","Wood","","3","","","0","","","0","","","0"
"Small Wood Doorway","Small Wood Doorway","55","55","construction","5.0","","Small Wood Doorway Craft","","881A7C40109DA2BA","False","True","False","Wood","","5","","","0","","","0","","","0"
"Large Wood Doorway","Large Wood Doorway","56","56","construction","10.0","","Large Wood Doorway Craft","","B257DEDF82BABA5E","False","True","False","Wood","","10","","","0","","","0","","","0"
"Small Stone Doorway","Small Stone Doorway","57","57","construction","10.0","","Small Stone Doorway Craft","","DDE3F3BB2565B567","False","True","False","Stone","","5","","","0","","","0","","","0"
"Large Stone Doorway","Large Stone Doorway","58","58","construction","20.0","","Large Stone Doorway Craft","","134D6A69341D70AC","False","True","False","Stone","","10","","","0","","","0","","","0"
"Small Fancy Doorway","Small Fancy Doorway","59","59","construction","20.0","","Small Fancy Doorway Craft","","9865ABC89DABAD4E","False","True","False","Stone","","5","Wood","","5","","","0","","","0"
"Large Fancy Doorway","Large Fancy Doorway","60","60","construction","40.0","","Large Fancy Doorway Craft","","F4CF9217432CFDD6","False","True","False","Stone","","10","Wood","","5","","","0","","","0"
"Curved Wood Doorway","Curved Wood Doorway","61","61","construction","10.0","","Curved Wood Doorway Craft","","E4268F2562B04C9D","False","True","False","Wood","","5","","","0","","","0","","","0"
"Curved Stone Doorway","Curved Stone Doorway","62","62","construction","20.0","","Curved Stone Doorway Craft","","ADB6A7C1DE37D55F","False","True","False","Stone","","5","","","0","","","0","","","0"
"Curved Fancy Doorway","Curved Fancy Doorway","63","63","construction","40.0","","Curved Fancy Doorway Craft","","3601651F2E166C6B","False","True","False","Stone","","5","Wood","","5","","","0","","","0"
"63","","0","0","construction","0.0","","","","0BADBADBADBADBAD","False","False","False","","","0","","","0","","","0","","","0"
"64","","0","0","construction","0.0","","","","0BADBADBADBADBAD","False","False","False","","","0","","","0","","","0","","","0"
"65","","0","0","construction","0.0","","","","0BADBADBADBADBAD","False","False","False","","","0","","","0","","","0","","","0"
"66","","0","0","construction","0.0","","","","0BADBADBADBADBAD","False","False","False","","","0","","","0","","","0","","","0"
"67","","0","0","construction","0.0","","","","0BADBADBADBADBAD","False","False","False","","","0","","","0","","","0","","","0"
"68","","0","0","construction","0.0","","","","0BADBADBADBADBAD","False","False","False","","","0","","","0","","","0","","","0"
"69","","0","0","construction","0.0","","","","0BADBADBADBADBAD","False","False","False","","","0","","","0","","","0","","","0"
"70","","0","0","construction","0.0","","","","0BADBADBADBADBAD","False","False","False","","","0","","","0","","","0","","","0"
"71","","0","0","construction","0.0","","","","0BADBADBADBADBAD","False","False","False","","","0","","","0","","","0","","","0"
"72","","0","0","construction","0.0","","","","0BADBADBADBADBAD","False","False","False","","","0","","","0","","","0","","","0"
"73","","0","0","construction","0.0","","","","0BADBADBADBADBAD","False","False","False","","","0","","","0","","","0","","","0"
"74","","0","0","construction","0.0","","","","0BADBADBADBADBAD","False","False","False","","","0","","","0","","","0","","","0"
"75","","0","0","construction","0.0","","","","0BADBADBADBADBAD","False","False","False","","","0","","","0","","","0","","","0"
