"Id[String]","Name[String]","Tags[String]","UniqueStorageId[Int]","Client[Asset Reference]","Server[Asset Reference]","Static[Asset Reference]","ValidReplicatorIdentifiers[String]","ValidPlaceToolTypes[String]","ValidRemoveToolTypes[String]","PlaceEffects[Asset Reference]","PlaceEffectsOffset[Vector3]","RemoveEffects[Asset Reference]","RemoveEffectsOffset[Vector3]","RemoveItemWhenPlaced[Bool]","PlacementPreview[Asset Reference]","PlacementOverlapCheckTrigger[Asset Reference]","PlacementAreaTypes[String]","SnapToGrid[Bool]","GridSize[Vector2]","CanRotate[Bool]","SnapRotation[Bool]","RotationSnapAngle[Float]","AlignToSurface[Bool]","RotateWithLook[Bool]","CostItemId1[String]","CostCurrencyId1[String]","CostAmount1[Int]","DestroyOnRemove[Bool]","DropInWorldOnRemove[Bool]","DropPlacementCostsOnRemove[Bool]","DropBehaviorId[String]","PlaceableBuffIds[String]","ProducerBuffIds[String]","CraftingStationBuffIds[String]","ProducerBaseNotes[String]","IsProducerBase[Bool]","ProducerBaseType[String]","InitialProducerId[String]","BuildRate[Float]","AllowExpiry[Bool]","ExpireRate[Float]","AddProducerText[String]","AllowProducerRemoval[Bool]","CraftingTableNotes[String]","IsCraftingStation[Bool]","ValidCraftToolTypes[String]","OpenCraftingStationInteractionText[String]","CraftRate[Float]","AllowRemovalWhileInUse[Bool]","DestroyCraftOnRemove[Bool]","DropCraftInWorldOnRemove[Bool]","InventoryNotes[String]","IsInventory[Bool]","ValidOpenToolTypes[String]","OpenInventoryInteractionText[String]","AllowNonEmptyRemoval[Bool]","DestroyContentsOnRemove[Bool]","DropContentsInWorldOnRemove[Bool]"
"Small Wood Doorway","Small Wood Doorway","smalldoorway","27","0BADBADBADBADBAD","0BADBADBADBADBAD","94903341F6EF1A33","FrontYardPlaceables, BackYardPlaceables","hand","hammer","221CC861EF5902BE","0.000000,0.000000,0.000000","D31FB88447E71F3A","0.000000,0.000000,0.000000","True","94903341F6EF1A33","8FB250448900FD99","Floor","True","50.000000,50.000000","True","True","22.5","False","False","","","0","False","False","False","Solo","","","","","True","smalldoor","","0.0","False","0.0","","False","","False","","","0.0","False","False","False","","False","","","False","False","False"
"Large Wood Doorway","Large Wood Doorway","largedoorway","28","0BADBADBADBADBAD","0BADBADBADBADBAD","C2478509551AC218","FrontYardPlaceables, BackYardPlaceables","hand","hammer","221CC861EF5902BE","0.000000,0.000000,0.000000","D31FB88447E71F3A","0.000000,0.000000,0.000000","True","C2478509551AC218","CA0790BE8402487F","Floor","True","50.000000,50.000000","True","True","22.5","False","False","","","0","False","False","False","Solo","","","","","True","largedoor","","0.0","False","0.0","","False","","False","","","0.0","False","False","False","","False","","","False","False","False"
"Curved Stone Wall","Curved Stone Wall","wall","29","0BADBADBADBADBAD","0BADBADBADBADBAD","AB3321D03E257A8E","FrontYardPlaceables, BackYardPlaceables","hand","hammer","221CC861EF5902BE","0.000000,0.000000,0.000000","D31FB88447E71F3A","0.000000,0.000000,0.000000","True","AB3321D03E257A8E","6F93BC8DC1E253CB","Floor","True","50.000000,50.000000","True","True","22.5","False","False","","","0","False","False","False","Solo","","","","","False","","","0.0","False","0.0","","False","","False","","","0.0","False","False","False","","False","","","False","False","False"
"Curved Wood Wall","Curved Wood Wall","wall","30","0BADBADBADBADBAD","0BADBADBADBADBAD","3D117E2E63BE1DA0","FrontYardPlaceables, BackYardPlaceables","hand","hammer","221CC861EF5902BE","0.000000,0.000000,0.000000","D31FB88447E71F3A","0.000000,0.000000,0.000000","True","3D117E2E63BE1DA0","6F93BC8DC1E253CB","Floor","True","50.000000,50.000000","True","True","22.5","False","False","","","0","False","False","False","Solo","","","","","False","","","0.0","False","0.0","","False","","False","","","0.0","False","False","False","","False","","","False","False","False"
"Curved Stone Doorway","Curved Stone Doorway","largedoorway","31","0BADBADBADBADBAD","0BADBADBADBADBAD","0B9C56DC9A5A7F53","FrontYardPlaceables, BackYardPlaceables","hand","hammer","221CC861EF5902BE","0.000000,0.000000,0.000000","D31FB88447E71F3A","0.000000,0.000000,0.000000","True","0B9C56DC9A5A7F53","6F93BC8DC1E253CB","Floor","True","50.000000,50.000000","True","True","22.5","False","False","","","0","False","False","False","Solo","","","","","True","largedoor","","0.0","False","0.0","","False","","False","","","0.0","False","False","False","","False","","","False","False","False"
"Curved Wood Doorway","Curved Wood Doorway","largedoorway","32","0BADBADBADBADBAD","0BADBADBADBADBAD","9DC64BA52EABD407","FrontYardPlaceables, BackYardPlaceables","hand","hammer","221CC861EF5902BE","0.000000,0.000000,0.000000","D31FB88447E71F3A","0.000000,0.000000,0.000000","True","9DC64BA52EABD407","6F93BC8DC1E253CB","Floor","True","50.000000,50.000000","True","True","22.5","False","False","","","0","False","False","False","Solo","","","","","True","largedoor","","0.0","False","0.0","","False","","False","","","0.0","False","False","False","","False","","","False","False","False"
"Wooden Chair","Wooden Chair","","33","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD","FrontYardPlaceables, BackYardPlaceables","hand","hammer","221CC861EF5902BE","0.000000,0.000000,0.000000","D31FB88447E71F3A","0.000000,0.000000,0.000000","True","0BADBADBADBADBAD","0BADBADBADBADBAD","Floor","True","50.000000,50.000000","True","True","22.5","False","False","","","0","False","False","False","Solo","","","","","False","","","0.0","False","0.0","","False","","False","","","0.0","False","False","False","","False","","","False","False","False"
"Wooden Table","Wooden Table","","34","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD","FrontYardPlaceables, BackYardPlaceables","hand","hammer","221CC861EF5902BE","0.000000,0.000000,0.000000","D31FB88447E71F3A","0.000000,0.000000,0.000000","True","0BADBADBADBADBAD","0BADBADBADBADBAD","Floor","True","50.000000,50.000000","True","True","22.5","False","False","","","0","False","False","False","Solo","","","","","False","","","0.0","False","0.0","","False","","False","","","0.0","False","False","False","","False","","","False","False","False"
"Stairs Straight","Stairs Straight","","35","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD","FrontYardPlaceables, BackYardPlaceables","hand","hammer","221CC861EF5902BE","0.000000,0.000000,0.000000","D31FB88447E71F3A","0.000000,0.000000,0.000000","True","0BADBADBADBADBAD","0BADBADBADBADBAD","Floor","True","50.000000,50.000000","True","True","22.5","False","False","","","0","False","False","False","Solo","","","","","False","","","0.0","False","0.0","","False","","False","","","0.0","False","False","False","","False","","","False","False","False"
"Stairs 90 Right","Stairs 90 Right","","36","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD","FrontYardPlaceables, BackYardPlaceables","hand","hammer","221CC861EF5902BE","0.000000,0.000000,0.000000","D31FB88447E71F3A","0.000000,0.000000,0.000000","True","0BADBADBADBADBAD","0BADBADBADBADBAD","Floor","True","50.000000,50.000000","True","True","22.5","False","False","","","0","False","False","False","Solo","","","","","False","","","0.0","False","0.0","","False","","False","","","0.0","False","False","False","","False","","","False","False","False"
"Stairs 90 Left","Stairs 90 Left","","37","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD","FrontYardPlaceables, BackYardPlaceables","hand","hammer","221CC861EF5902BE","0.000000,0.000000,0.000000","D31FB88447E71F3A","0.000000,0.000000,0.000000","True","0BADBADBADBADBAD","0BADBADBADBADBAD","Floor","True","50.000000,50.000000","True","True","22.5","False","False","","","0","False","False","False","Solo","","","","","False","","","0.0","False","0.0","","False","","False","","","0.0","False","False","False","","False","","","False","False","False"
"Stairs 180 Right","Stairs 180 Right","","38","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD","FrontYardPlaceables, BackYardPlaceables","hand","hammer","221CC861EF5902BE","0.000000,0.000000,0.000000","D31FB88447E71F3A","0.000000,0.000000,0.000000","True","0BADBADBADBADBAD","0BADBADBADBADBAD","Floor","True","50.000000,50.000000","True","True","22.5","False","False","","","0","False","False","False","Solo","","","","","False","","","0.0","False","0.0","","False","","False","","","0.0","False","False","False","","False","","","False","False","False"
"Stairs 180 Left","Stairs 180 Left","","39","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD","FrontYardPlaceables, BackYardPlaceables","hand","hammer","221CC861EF5902BE","0.000000,0.000000,0.000000","D31FB88447E71F3A","0.000000,0.000000,0.000000","True","0BADBADBADBADBAD","0BADBADBADBADBAD","Floor","True","50.000000,50.000000","True","True","22.5","False","False","","","0","False","False","False","Solo","","","","","False","","","0.0","False","0.0","","False","","False","","","0.0","False","False","False","","False","","","False","False","False"
"Stone Pillar 1","Stone Pillar 1","wall","40","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD","FrontYardPlaceables, BackYardPlaceables","hand","hammer","221CC861EF5902BE","0.000000,0.000000,0.000000","D31FB88447E71F3A","0.000000,0.000000,0.000000","True","0BADBADBADBADBAD","0BADBADBADBADBAD","Floor","True","50.000000,50.000000","True","True","22.5","False","False","","","0","False","False","False","Solo","","","","","False","","","0.0","False","0.0","","False","","False","","","0.0","False","False","False","","False","","","False","False","False"
"Stone Pillar 2","Stone Pillar 2","wall","41","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD","FrontYardPlaceables, BackYardPlaceables","hand","hammer","221CC861EF5902BE","0.000000,0.000000,0.000000","D31FB88447E71F3A","0.000000,0.000000,0.000000","True","0BADBADBADBADBAD","0BADBADBADBADBAD","Floor","True","50.000000,50.000000","True","True","22.5","False","False","","","0","False","False","False","Solo","","","","","False","","","0.0","False","0.0","","False","","False","","","0.0","False","False","False","","False","","","False","False","False"
"Wood Pillar 1","Wood Pillar 1","wall","42","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD","FrontYardPlaceables, BackYardPlaceables","hand","hammer","221CC861EF5902BE","0.000000,0.000000,0.000000","D31FB88447E71F3A","0.000000,0.000000,0.000000","True","0BADBADBADBADBAD","0BADBADBADBADBAD","Floor","True","50.000000,50.000000","True","True","22.5","False","False","","","0","False","False","False","Solo","","","","","False","","","0.0","False","0.0","","False","","False","","","0.0","False","False","False","","False","","","False","False","False"
"Wood PIllar 2","Wood PIllar 2","wall","43","0BADBADBADBADBAD","0BADBADBADBADBAD","0BADBADBADBADBAD","FrontYardPlaceables, BackYardPlaceables","hand","hammer","221CC861EF5902BE","0.000000,0.000000,0.000000","D31FB88447E71F3A","0.000000,0.000000,0.000000","True","0BADBADBADBADBAD","0BADBADBADBADBAD","Floor","True","50.000000,50.000000","True","True","22.5","False","False","","","0","False","False","False","Solo","","","","","False","","","0.0","False","0.0","","False","","False","","","0.0","False","False","False","","False","","","False","False","False"
